height;books;receipt;petowner;dog;cat;bird;fish;rodent;snake;turtle;other;gender;region;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
179;40;80;2;0;0;0;0;0;0;0;0;1;1;;0;0;0;1;0
164;253;22;1;0;1;0;0;0;0;0;0;2;1;;0;0;0;1;0
191;47;70,95;2;0;0;0;0;0;0;0;0;1;;;0;0;1;0;0
170;37;39;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
165;35;97,35;1;1;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
160;20;80;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
173;44;231,9;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
166;20;136,5;2;0;0;0;0;0;0;0;0;2;5;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
169;6;199,75;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
165;50;133;1;1;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
170;6;647;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
164;45;76;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
167;30;188,65;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
165;56;159,45;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
183;37;202;2;0;0;0;0;0;0;0;0;1;2;;0;0;0;1;0
165;102;88,85;1;1;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
169;93;56;1;0;1;0;0;0;0;0;0;2;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
163;15;7,4;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
175;53;433,5;2;0;0;0;0;0;0;0;0;1;2;;0;0;0;1;0
176;30;121,19;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
1,62;60;164;2;0;0;0;0;0;0;0;0;2;3;;0;0;0;1;0
168;25;86,25;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
168;35;182,5;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
172;30;111,5;1;1;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
171;20;300,9;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
168;960;111,7;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
165;74;318;1;0;0;0;0;1;0;0;0;2;1;;0;0;0;1;0
165;146;38,52;1;0;1;0;0;0;0;0;0;2;2;;0;0;0;1;0
183;20;45,33;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
175;70;326,3;1;0;1;0;0;0;0;0;0;2;1;;0;0;0;1;0
191;10;136,3;1;1;0;0;0;0;0;0;0;1;1;;0;0;0;1;0
157;10;45,5;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
190;40;110;2;0;0;0;0;0;0;0;0;1;2;;0;0;0;1;0
175;150;46,95;2;0;0;0;0;0;0;0;0;1;6;;0;0;0;1;0
157,5;32;172;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
160;60;146;1;0;1;0;0;0;0;0;0;2;2;;0;0;0;1;0
173;20;88,67;1;1;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
170;115;256,3;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
162;10;;2;0;0;0;0;0;0;0;0;2;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
165;25;44,95;1;1;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
165;30;50,8;1;0;1;0;0;0;0;0;0;2;4;;0;0;0;1;0
182;132;30;2;0;0;0;0;0;0;0;0;1;3;;0;0;0;1;0
183;25;189,2;2;0;0;0;0;0;0;0;0;1;2;;0;0;0;1;0
191;47;70,95;2;0;0;0;0;0;0;0;0;1;3;;0;0;0;1;0
180;130;129,3;2;0;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;;0;1;0;0;0
164;55;29;1;1;0;0;0;0;0;0;0;2;1;;0;0;0;1;0
187;52;108;2;0;0;0;0;0;0;0;0;1;2;;0;0;0;1;0
