"ppltrst","lrscale","gender","age","married","urban","native","edulevel","paidwork","cntry"
NA,4,1,69,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,8,1,60,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,0,1,18,0,0,1,"Gymnasium",0,"DK"
NA,NA,1,16,0,1,1,"Gymnasium",0,"DK"
NA,3,0,62,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,1,1,44,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,0,43,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,60,0,1,0,"Lang videreg?ende",1,"DK"
NA,3,0,54,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,1,44,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,6,0,66,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,7,1,55,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,27,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,0,34,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,7,0,52,0,1,0,"Lang videreg?ende",1,"DK"
5,4,1,60,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,68,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,8,1,53,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,62,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,1,49,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,51,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,28,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,86,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,5,1,52,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,0,70,0,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,0,62,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,2,1,69,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
7,5,1,27,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,8,1,31,0,0,1,"Erhvervsuddannelse",1,"DK"
8,8,0,43,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,0,55,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
7,2,0,36,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,0,39,0,0,1,"Erhvervsuddannelse",1,"DK"
6,8,1,38,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,76,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,6,1,29,0,0,1,"Erhvervsuddannelse",1,"DK"
7,2,0,20,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,7,0,63,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,0,36,1,1,1,"Lang videreg?ende",1,"DK"
NA,4,1,51,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,53,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,3,0,25,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,10,0,20,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,4,0,67,1,1,1,"Lang videreg?ende",0,"DK"
8,3,1,31,0,1,0,"Lang videreg?ende",1,"DK"
NA,5,0,76,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,1,0,17,0,0,1,"Gymnasium",0,"DK"
NA,3,1,25,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,0,34,1,1,1,"Lang videreg?ende",1,"DK"
NA,8,0,78,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,2,1,63,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,1,50,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,3,0,46,1,1,1,"Lang videreg?ende",1,"DK"
NA,7,0,41,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,0,83,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,8,1,76,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,3,0,57,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,36,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,NA,0,27,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,4,1,69,1,0,1,"Erhvervsuddannelse",0,"DK"
10,3,1,38,1,0,1,"Lang videreg?ende",1,"DK"
NA,2,1,61,1,0,1,"Gymnasium",1,"DK"
NA,6,1,84,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,2,0,73,0,0,1,"Lang videreg?ende",0,"DK"
NA,NA,1,51,0,0,0,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,33,0,0,1,"Erhvervsuddannelse",1,"DK"
8,3,1,23,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,6,0,40,1,1,1,"Lang videreg?ende",1,"DK"
NA,8,1,77,1,0,1,"Lang videreg?ende",0,"DK"
NA,3,1,17,0,1,1,"Gymnasium",0,"DK"
NA,4,0,20,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,0,1,29,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,3,0,45,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,1,80,1,0,1,"Gymnasium",0,"DK"
NA,8,0,44,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,2,0,15,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,3,1,65,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,1,51,1,1,1,"Gymnasium",1,"DK"
NA,9,0,23,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,2,0,16,0,0,1,"Gymnasium",1,"DK"
7,5,1,17,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,NA,1,68,0,1,0,"Lang videreg?ende",1,"DK"
NA,2,0,21,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,6,1,67,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,1,74,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,2,1,75,0,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,0,70,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,2,1,16,0,0,1,"Gymnasium",0,"DK"
NA,7,1,58,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,8,1,65,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,NA,1,21,0,1,1,"Gymnasium",0,"DK"
NA,5,1,59,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,3,1,78,1,1,1,"Lang videreg?ende",0,"DK"
NA,5,0,71,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
8,8,1,52,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,1,42,1,0,1,"Lang videreg?ende",1,"DK"
NA,7,0,37,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,55,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,0,69,0,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
8,3,1,39,1,1,1,"Lang videreg?ende",1,"DK"
NA,7,1,90,0,0,1,"Grundskole",0,"DK"
NA,8,0,60,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,8,1,54,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,0,55,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,47,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,58,1,1,0,"Erhvervsuddannelse",1,"DK"
NA,8,1,32,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,1,56,1,0,1,"Erhvervsuddannelse",1,"DK"
8,5,0,35,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,55,1,1,1,"Gymnasium",1,"DK"
8,5,0,68,1,1,1,"Grundskole",0,"DK"
NA,1,1,63,1,0,1,"Gymnasium",1,"DK"
NA,2,1,83,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,0,1,69,1,1,1,"Erhvervsuddannelse",0,"DK"
NA,4,0,35,1,0,1,"Lang videreg?ende",1,"DK"
NA,3,1,71,1,1,1,"Lang videreg?ende",1,"DK"
7,6,1,66,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,8,1,53,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,7,1,44,0,0,1,"Erhvervsuddannelse",0,"DK"
